mutant, misMatchPercentage, isSameDimensions, analysisTime
52, 0.26, true, 102
52, 0.25, true, 101
52, 0.77, true, 100
52, 0.25, true, 101
53, 0.79, true, 98
53, 0.25, true, 100
53, 0.77, true, 99
53, 0.25, true, 100
54, 0.25, true, 102
54, 0.25, true, 108
54, 0.77, true, 98
54, 0.25, true, 101
55, 0.79, true, 98
55, 0.25, true, 101
55, 0.77, true, 99
55, 0.25, true, 101
56, 0.79, true, 97
56, 0.25, true, 105
56, 0.77, true, 99
56, 0.25, true, 100
57, 0.26, true, 102
57, 0.26, true, 101
57, 0.77, true, 100
57, 0.26, true, 122
58, 0.26, true, 106
58, 0.26, true, 101
58, 55.28, true, 160
58, 93.44, true, 167
59, 0.80, true, 99
59, 0.26, true, 100
59, 46.46, true, 158
59, 93.44, true, 165
60, 0.26, true, 103
60, 0.26, true, 99
60, 0.77, true, 98
60, 0.26, true, 98
61, 0.26, true, 102
61, 0.26, true, 100
61, 0.77, true, 100
61, 0.26, true, 101
62, 0.80, true, 99
62, 0.26, true, 100
62, 0.77, true, 98
62, 0.26, true, 100
63, 0.25, true, 103
63, 0.26, true, 102
63, 0.77, true, 101
63, 0.26, true, 101
64, 0.25, true, 101
64, 0.26, true, 101
64, 0.77, true, 100
64, 0.26, true, 100
65, 0.80, true, 96
65, 0.26, true, 104
65, 0.77, true, 99
65, 0.26, true, 100
66, 0.25, true, 101
66, 0.26, true, 102
66, 0.77, true, 101
66, 0.26, true, 99
67, 0.25, true, 103
67, 0.26, true, 100
67, 0.77, true, 98
67, 0.26, true, 101
68, 0.80, true, 97
68, 0.26, true, 102
68, 0.77, true, 100
68, 0.26, true, 99
69, 0.25, true, 103
69, 0.26, true, 100
69, 0.77, true, 100
69, 0.26, true, 99
70, 0.26, true, 105
70, 0.26, true, 106
70, 0.77, true, 99
70, 0.26, true, 100
71, 0.80, true, 97
71, 0.26, true, 99
71, 0.77, true, 100
71, 0.26, true, 100
72, 0.26, true, 103
72, 0.26, true, 99
72, 0.77, true, 101
72, 0.26, true, 104
73, 0.80, true, 98
73, 0.26, true, 103
73, 0.77, true, 99
73, 0.25, true, 100
74, 0.24, true, 101
74, 80.34, true, 171
74, 93.44, true, 175
74, 93.44, true, 168
75, 0.79, true, 99
75, 81.52, true, 170
75, 93.44, true, 168
75, 93.44, true, 165
76, 0.24, true, 105
76, 0.25, true, 102
76, 0.77, true, 100
76, 0.25, true, 100
77, 0.79, true, 96
77, 0.25, true, 100
77, 0.77, true, 101
77, 0.25, true, 102
78, 0.26, true, 106
78, 0.24, true, 97
78, 0.76, true, 99
78, 0.24, true, 101
79, 0.26, true, 100
79, 0.24, true, 104
79, 0.76, true, 101
79, 0.24, true, 103
80, 0.80, true, 97
80, 0.24, true, 102
80, 0.76, true, 98
80, 0.24, true, 100
81, 0.26, true, 102
81, 0.24, true, 102
81, 0.76, true, 101
81, 0.24, true, 98
82, 0.25, true, 103
82, 0.25, true, 99
82, 0.77, true, 100
82, 0.25, true, 99
83, 0.80, true, 99
83, 0.25, true, 101
83, 0.77, true, 98
83, 0.25, true, 101
84, 0.25, true, 100
84, 0.25, true, 99
84, 0.77, true, 99
84, 0.25, true, 100
85, 0.25, true, 103
85, 0.25, true, 101
85, 0.77, true, 100
85, 0.25, true, 100
86, 0.80, true, 97
86, 0.26, true, 100
86, 0.77, true, 98
86, 0.26, true, 99
87, 0.26, true, 104
87, 0.26, true, 98
87, 0.77, true, 100
87, 0.26, true, 100
88, 0.26, true, 102
88, 0.26, true, 101
88, 0.77, true, 100
88, 0.26, true, 100
89, 0.80, true, 96
89, 0.26, true, 102
89, 0.77, true, 98
89, 0.26, true, 98
90, 0.80, true, 96
90, 0.26, true, 103
90, 0.77, true, 98
90, 0.26, true, 101
91, 0.26, true, 102
91, 0.26, true, 101
91, 0.77, true, 99
91, 0.26, true, 102
92, 0.26, true, 102
92, 0.26, true, 100
92, 0.77, true, 101
92, 0.26, true, 104
93, 0.26, true, 100
93, 0.26, true, 102
93, 0.77, true, 98
93, 0.26, true, 99
94, 0.79, true, 98
